Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST,Total turnover
15.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
14.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
13.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
10.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
09.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
08.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
03.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
02.01.2025,"257,00","0,00","0,00","257,00","0,00",0,0,0
30.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
27.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
26.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
25.12.2024,"257,00","257,00","257,00","257,00","0,00",13.325,3.424.525,3.424.525
24.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
23.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
20.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
19.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
18.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
17.12.2024,"257,00","0,00","0,00","257,00","0,00",0,0,0
